Word,term_id
horrif,0
alchemi,1
experi,2
goe,3
wrong,4
elric,5
household,6
brother,7
edward,8
alphons,9
left,10
catastroph,11
new,12
realiti,13
ignor,14
alchem,15
principl,16
ban,17
human,18
transmut,19
boy,20
attempt,21
bring,22
recent,23
deceas,24
mother,25
back,26
life,27
instead,28
suffer,29
brutal,30
person,31
loss,32
bodi,33
disintegr,34
lost,35
leg,36
sacrif,37
arm,38
keep,39
soul,40
physic,41
realm,42
bind,43
hulk,44
suit,45
armor,46
rescu,47
neighbor,48
pinako,49
rockbel,50
granddaught,51
winri,52
known,53
bio,54
mechan,55
engin,56
prodigi,57
creat,58
prosthet,59
limb,60
util,61
automail,62
tough,63
versatil,64
metal,65
use,66
robot,67
combat,68
year,69
train,70
set,71
quest,72
restor,73
locat,74
philosoph,75
stone,76
power,77
gem,78
allow,79
alchemist,80
defi,81
tradit,82
law,83
equival,84
exchang,85
becom,86
infam,87
gain,88
nicknam,89
fullmet,90
journey,91
embroil,92
grow,93
conspiraci,94
threaten,95
fate,96
world,97
written,98
mal,99
rewrit,100
gintoki,101
shinpachi,102
kagura,103
return,104
fun,105
love,106
broke,107
member,108
yorozuya,109
team,110
live,111
altern,112
edo,113
sword,114
prohibit,115
alien,116
overlord,117
conquer,118
japan,119
tri,120
thrive,121
whatev,122
work,123
get,124
hand,125
howev,126
still,127
paid,128
gin,129
chan,130
realli,131
spend,132
cash,133
play,134
pachinko,135
meanwhil,136
drunkenli,137
stagger,138
home,139
one,140
night,141
spaceship,142
crash,143
nearbi,144
fatal,145
injur,146
crew,147
emerg,148
ship,149
give,150
strang,151
clock,152
shape,153
devic,154
warn,155
incred,156
must,157
safeguard,158
mistak,159
alarm,160
proce,161
smash,162
next,163
morn,164
suddenli,165
discov,166
outsid,167
apart,168
come,169
standstil,170
side,171
fix,172
though,173
usual,174
noth,175
ever,176
simpl,177
fill,178
tongu,179
cheek,180
humor,181
moment,182
heartfelt,183
emot,184
gintama,185
fourth,186
season,187
find,188
friend,189
face,190
hilari,191
misadventur,192
danger,193
crise,194
yet,195
seek,196
diminish,197
hope,198
survey,199
corp,200
embark,201
mission,202
retak,203
wall,204
maria,205
battl,206
merciless,207
titan,208
take,209
stage,210
tatter,211
shiganshina,212
district,213
eren,214
yeager,215
town,216
oddli,217
unoccupi,218
even,219
outer,220
gate,221
plug,222
encount,223
opposit,224
progress,225
smoothli,226
armin,227
arlert,228
highli,229
suspici,230
enemi,231
absenc,232
distress,233
sign,234
potenti,235
scheme,236
shingeki,237
kyojin,238
3,239
part,240
2,241
follow,242
vow,243
everyth,244
alongsid,245
strive,246
countless,247
sacrific,248
carv,249
path,250
toward,251
victori,252
uncov,253
secret,254
lock,255
away,256
famili,257
basement,258
self,259
proclaim,260
mad,261
scientist,262
rintar,263
okab,264
rent,265
room,266
ricketi,267
old,268
build,269
akihabara,270
indulg,271
hobbi,272
invent,273
prospect,274
futur,275
gadget,276
fellow,277
lab,278
mayuri,279
shiina,280
air,281
head,282
childhood,283
hashida,284
itaru,285
pervert,286
hacker,287
daru,288
three,289
pass,290
time,291
tinker,292
promis,293
contrapt,294
machin,295
dub,296
phone,297
microwav,298
perform,299
function,300
morph,301
banana,302
pile,303
green,304
gel,305
miracul,306
phenomenon,307
provid,308
anyth,309
concret,310
search,311
scientif,312
breakthrough,313
spur,314
action,315
string,316
mysteri,317
happen,318
stumbl,319
upon,320
unexpect,321
success,322
send,323
email,324
past,325
alter,326
flow,327
histori,328
adapt,329
critic,330
acclaim,331
visual,332
novel,333
5pb,334
nitroplu,335
stein,336
depth,337
theori,338
practic,339
forc,340
across,341
diverg,342
thread,343
present,344
shoulder,345
burden,346
hold,347
key,348
hundr,349
ago,350
chines,351
zodiac,352
spirit,353
god,354
swore,355
stay,356
togeth,357
etern,358
unit,359
possess,360
souma,361
shall,362
alway,363
circumst,364
bond,365
shackl,366
freedom,367
undesir,368
curs,369
clan,370
akito,371
convinc,372
share,373
special,374
connect,375
desper,376
cling,377
fantasi,378
rest,379
remain,380
isol,381
suppress,382
fear,383
punish,384
tooru,385
honda,386
grown,387
attach,388
determin,389
break,390
chain,391
companionship,392
encourag,393
move,394
forward,395
lift,396
due,397
confound,398
revel,399
struggl,400
tenac,401
continu,402
endeavor,403
slowli,404
wither,405
contend,406
uncertain,407
reach,408
tranquil,409
may,410
lie,411
beyond,412
commot,413
hiatu,414
shimura,415
shock,416
surpris,417
complet,418
differ,419
charact,420
flee,421
headquart,422
confus,423
denizen,424
undergon,425
imposs,426
extrem,427
chang,428
appear,429
unbeliev,430
sister,431
ota,432
marri,433
shinsengumi,434
chief,435
shameless,436
stalker,437
isao,438
kondou,439
pregnant,440
first,441
child,442
bewild,443
agre,444
join,445
request,446
startl,447
transform,448
afoot,449
rank,450
organ,451
vice,452
toushir,453
hijikata,454
unchang,455
unlik,456
alli,457
citi,458
rememb,459
dirti,460
joke,461
parodi,462
refer,463
vibrant,464
hunter,465
x,466
exist,467
manner,468
task,469
like,470
captur,471
crimin,472
brave,473
treasur,474
unchart,475
territori,476
twelv,477
gon,478
freecss,479
best,480
possibl,481
father,482
long,483
abandon,484
young,485
son,486
soon,487
realiz,488
achiev,489
goal,490
far,491
challeng,492
could,493
imagin,494
along,495
way,496
offici,497
befriend,498
doctor,499
leorio,500
veng,501
kurapika,502
rebelli,503
ex,504
assassin,505
killua,506
attain,507
desir,508
four,509
exam,510
notori,511
low,512
rate,513
high,514
probabl,515
death,516
throughout,517
adventur,518
put,519
mani,520
hardship,521
meet,522
plethora,523
monster,524
creatur,525
learn,526
truli,527
mean,528
150,529
stalem,530
two,531
interstellar,532
superpow,533
galact,534
empir,535
free,536
planet,537
allianc,538
end,539
gener,540
leader,541
aris,542
idealist,543
militari,544
geniu,545
reinhard,546
von,547
lohengramm,548
fpa,549
reserv,550
historian,551
yang,552
wenli,553
climb,554
aid,555
siegfri,556
kirchei,557
fight,558
war,559
also,560
remnant,561
crumbl,562
goldenbaum,563
dynasti,564
order,565
kaiser,566
unifi,567
genuin,568
ruler,569
galaxi,570
strong,571
support,572
democrat,573
ideal,574
stand,575
firm,576
belief,577
despit,578
show,579
pupil,580
julian,581
mintz,582
autocraci,583
solut,584
ideolog,585
clash,586
amidst,587
casualti,588
strateg,589
mastermind,590
ask,591
real,592
reason,593
behind,594
sakata,595
found,596
kintoki,597
golden,598
hair,599
doppelgang,600
regain,601
former,602
posit,603
need,604
help,605
around,606
troubl,607
feat,608
claim,609
throne,610
main,611
addit,612
make,613
trip,614
red,615
light,616
yoshiwara,617
elderli,618
courtesan,619
lover,620
although,621
longer,622
beneath,623
earth,624
surfac,625
trio,626
tragic,627
backstori,628
inhabit,629
haunt,630
flashback,631
wit,632
everlast,633
protect,634
heart,635
enchousen,636
includ,637
pack,638
intens,639
lightheart,640
slapstick,641
movi,642
resist,643
bakufu,644
gang,645
hide,646
katsura,647
joui,648
rebel,649
approach,650
nobum,651
imai,652
kiheitai,653
explain,654
harusam,655
pirat,656
turn,657
7th,658
divis,659
captain,660
kamui,661
takasugi,662
job,663
miss,664
sinc,665
ambush,666
raid,667
stun,668
regard,669
tendoushuu,670
pull,671
numer,672
faction,673
utsuro,674
shadowi,675
figur,676
uncanni,677
resembl,678
teacher,679
hitch,680
ride,681
sakamoto,682
space,683
rakuy,684
variou,685
gather,686
tension,687
brew,688
held,689
grudg,690
polit,691
infight,692
sinist,693
overarch,694
plan,695
final,696
culmin,697
massiv,698
decis,699
second,700
school,701
rei,702
kiriyama,703
